response,Potency,Usage,problem
Bryonia,12C,Internal,"Dry cough, arthritis, headaches"
Belladonna,1M,Internal,"Flu, fever, fatigue, headache"
Bryonia,30C,External/Internal,"Menstrual pain, mood swings"
Bryonia,200C,External/Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,6C,Internal,"Bone health, growth, fatigue"
Gelsemium,30C,Internal,"Anemia, infections, inflammation"
Bryonia,1M,External/Internal,"Bone health, growth, fatigue"
Bryonia,12C,Internal,"Indigestion, nausea, hangovers"
Bryonia,30C,Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,30C,Internal,"Menstrual pain, mood swings"
Chamomilla,1M,External/Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,6C,External/Internal,"Fever, inflammation, throbbing pain"
Nux Vomica,12C,External/Internal,"Anemia, infections, inflammation"
Chamomilla,12C,Internal,"Dry cough, arthritis, headaches"
Pulsatilla,6C,Internal,"Bruises, muscle soreness, swelling"
Chamomilla,12C,Internal,"Bruises, muscle soreness, swelling"
Chamomilla,12C,External/Internal,"Bone health, growth, fatigue"
Pulsatilla,6C,Internal,"Flu, fever, fatigue, headache"
Belladonna,1M,Internal,"Dry cough, arthritis, headaches"
Gelsemium,200C,External/Internal,"Anemia, infections, inflammation"
Pulsatilla,30C,Internal,"Indigestion, nausea, hangovers"
Pulsatilla,6C,Internal,"Dry cough, arthritis, headaches"
Gelsemium,200C,External/Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,12C,Internal,"Indigestion, nausea, hangovers"
Arnica,200C,External/Internal,"Flu, fever, fatigue, headache"
Belladonna,12C,Internal,"Bone health, growth, fatigue"
Arnica,30C,External/Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,12C,External/Internal,"Bone health, growth, fatigue"
Arnica,1M,External/Internal,"Dry cough, arthritis, headaches"
Bryonia,12C,External/Internal,"Anxiety, restlessness, acute illness"
Aconite,200C,Internal,"Anemia, infections, inflammation"
Arnica,30C,Internal,"Menstrual pain, mood swings"
Belladonna,6C,Internal,"Dry cough, arthritis, headaches"
Arnica,1M,External/Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,1M,Internal,"Bone health, growth, fatigue"
Bryonia,6C,External/Internal,"Menstrual pain, mood swings"
Arnica,30C,Internal,"Bone health, growth, fatigue"
Calcarea Carbonica,1M,External/Internal,"Dry cough, arthritis, headaches"
Gelsemium,1M,Internal,"Indigestion, nausea, hangovers"
Arnica,30C,Internal,"Bruises, muscle soreness, swelling"
Ferrum Phosphoricum,1M,Internal,"Flu, fever, fatigue, headache"
Gelsemium,30C,External/Internal,"Anemia, infections, inflammation"
Gelsemium,12C,Internal,"Bone health, growth, fatigue"
Belladonna,30C,Internal,"Teething pain, irritability"
Calcarea Carbonica,6C,External/Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,200C,Internal,"Bruises, muscle soreness, swelling"
Chamomilla,6C,Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,30C,Internal,"Fever, inflammation, throbbing pain"
Belladonna,6C,External/Internal,"Flu, fever, fatigue, headache"
Chamomilla,12C,Internal,"Flu, fever, fatigue, headache"
Pulsatilla,200C,External/Internal,"Fever, inflammation, throbbing pain"
Arnica,1M,Internal,"Menstrual pain, mood swings"
Pulsatilla,200C,External/Internal,"Anemia, infections, inflammation"
Belladonna,200C,External/Internal,"Menstrual pain, mood swings"
Belladonna,6C,External/Internal,"Bone health, growth, fatigue"
Aconite,200C,Internal,"Fever, inflammation, throbbing pain"
Bryonia,30C,External/Internal,"Menstrual pain, mood swings"
Pulsatilla,30C,Internal,"Anemia, infections, inflammation"
Chamomilla,30C,Internal,"Fever, inflammation, throbbing pain"
Gelsemium,6C,External/Internal,"Fever, inflammation, throbbing pain"
Chamomilla,6C,Internal,"Dry cough, arthritis, headaches"
Gelsemium,6C,Internal,"Dry cough, arthritis, headaches"
Calcarea Carbonica,12C,External/Internal,"Teething pain, irritability"
Pulsatilla,30C,Internal,"Bone health, growth, fatigue"
Gelsemium,30C,External/Internal,"Fever, inflammation, throbbing pain"
Ferrum Phosphoricum,6C,External/Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,12C,External/Internal,"Flu, fever, fatigue, headache"
Chamomilla,12C,Internal,"Anxiety, restlessness, acute illness"
Gelsemium,1M,External/Internal,"Flu, fever, fatigue, headache"
Pulsatilla,12C,Internal,"Dry cough, arthritis, headaches"
Gelsemium,30C,External/Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,200C,Internal,"Fever, inflammation, throbbing pain"
Gelsemium,6C,External/Internal,"Teething pain, irritability"
Arnica,200C,Internal,"Anxiety, restlessness, acute illness"
Aconite,12C,Internal,"Teething pain, irritability"
Calcarea Carbonica,1M,Internal,"Bone health, growth, fatigue"
Ferrum Phosphoricum,200C,External/Internal,"Bruises, muscle soreness, swelling"
Nux Vomica,200C,Internal,"Teething pain, irritability"
Chamomilla,200C,Internal,"Bone health, growth, fatigue"
Calcarea Carbonica,30C,External/Internal,"Teething pain, irritability"
Gelsemium,30C,External/Internal,"Anxiety, restlessness, acute illness"
Chamomilla,6C,External/Internal,"Indigestion, nausea, hangovers"
Bryonia,12C,Internal,"Anemia, infections, inflammation"
Aconite,1M,External/Internal,"Menstrual pain, mood swings"
Aconite,200C,External/Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,200C,Internal,"Flu, fever, fatigue, headache"
Nux Vomica,30C,Internal,"Menstrual pain, mood swings"
Ferrum Phosphoricum,6C,Internal,"Anemia, infections, inflammation"
Aconite,30C,Internal,"Anemia, infections, inflammation"
Ferrum Phosphoricum,12C,Internal,"Menstrual pain, mood swings"
Chamomilla,6C,Internal,"Fever, inflammation, throbbing pain"
Gelsemium,30C,External/Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,6C,Internal,"Menstrual pain, mood swings"
Gelsemium,1M,Internal,"Anemia, infections, inflammation"
Nux Vomica,6C,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,1M,Internal,"Bruises, muscle soreness, swelling"
Ferrum Phosphoricum,12C,External/Internal,"Bruises, muscle soreness, swelling"
Calcarea Carbonica,1M,External/Internal,"Fever, inflammation, throbbing pain"
Arnica,200C,Internal,"Menstrual pain, mood swings"
Calcarea Carbonica,1M,External/Internal,"Anxiety, restlessness, acute illness"
Aconite,6C,Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,12C,Internal,"Bone health, growth, fatigue"
Arnica,200C,External/Internal,"Menstrual pain, mood swings"
Chamomilla,12C,External/Internal,"Bone health, growth, fatigue"
Nux Vomica,12C,Internal,"Bone health, growth, fatigue"
Bryonia,1M,External/Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,12C,External/Internal,"Flu, fever, fatigue, headache"
Pulsatilla,12C,External/Internal,"Fever, inflammation, throbbing pain"
Gelsemium,30C,External/Internal,"Dry cough, arthritis, headaches"
Nux Vomica,30C,External/Internal,"Anemia, infections, inflammation"
Calcarea Carbonica,12C,External/Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,200C,External/Internal,"Fever, inflammation, throbbing pain"
Bryonia,1M,Internal,"Teething pain, irritability"
Bryonia,200C,Internal,"Fever, inflammation, throbbing pain"
Belladonna,1M,Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,1M,Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,1M,Internal,"Anemia, infections, inflammation"
Chamomilla,6C,External/Internal,"Dry cough, arthritis, headaches"
Nux Vomica,12C,Internal,"Anxiety, restlessness, acute illness"
Pulsatilla,200C,Internal,"Menstrual pain, mood swings"
Gelsemium,30C,External/Internal,"Anxiety, restlessness, acute illness"
Arnica,12C,External/Internal,"Indigestion, nausea, hangovers"
Aconite,6C,External/Internal,"Fever, inflammation, throbbing pain"
